query,objects1,objects2,locations1,locations2,actions1,actions2,actions3,actions4,actions5,intentions1,intentions2,intentions3,intentions4,persons1,persons2,persons3,persons4,relationships1,relationships2,circumstances1,circumstances2,circumstances3,task,language
My jewelry was stolen from my restaurant. The accused person took it dishonestly without my consent.,jewelry,,restaurant,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
A person removed my wallet from my bag while I was in the park. I did not give permission for this.,wallet,,park,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
I found that my mobile phone is missing from my restaurant. Someone must have taken it without my knowledge.,mobile phone,,restaurant,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
A person removed my mobile phone from my bag while I was in the bus. I did not give permission for this.,mobile phone,,bus,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
My laptop was stolen from my home. The accused person took it dishonestly without my consent.,laptop,,home,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
I found that my watch is missing from my bus. Someone must have taken it without my knowledge.,watch,,bus,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
I found that my jewelry is missing from my bus. Someone must have taken it without my knowledge.,jewelry,,bus,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my laptop from my market without asking. I left it on the table and when I came back it was gone.,laptop,,market,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
A person removed my laptop from my bag while I was in the bus. I did not give permission for this.,laptop,,bus,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
My jewelry was stolen from my office. The accused person took it dishonestly without my consent.,jewelry,,office,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my bag from my bus without asking. I left it on the table and when I came back it was gone.,bag,,bus,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my laptop from my home without asking. I left it on the table and when I came back it was gone.,laptop,,home,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my bag from my restaurant without asking. I left it on the table and when I came back it was gone.,bag,,restaurant,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my mobile phone from my park without asking. I left it on the table and when I came back it was gone.,mobile phone,,park,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my bag from my market without asking. I left it on the table and when I came back it was gone.,bag,,market,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
A person removed my mobile phone from my bag while I was in the bus. I did not give permission for this.,mobile phone,,bus,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
My jewelry was stolen from my market. The accused person took it dishonestly without my consent.,jewelry,,market,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
A person removed my bag from my bag while I was in the park. I did not give permission for this.,bag,,park,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
I found that my wallet is missing from my restaurant. Someone must have taken it without my knowledge.,wallet,,restaurant,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
A person quickly snatched my purse while I was walking in bus stop.,purse,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my purse from my hands in the bus stop and ran away.,purse,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My purse was forcibly taken from me by someone in bus stop. They seized it suddenly.,purse,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my bag from my hands in the market and ran away.,bag,,market,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My phone was forcibly taken from me by someone in market. They seized it suddenly.,phone,,market,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my phone from my hands in the bus stop and ran away.,phone,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my phone from my hands in the bus stop and ran away.,phone,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my phone from my hands in the bus stop and ran away.,phone,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My bag was forcibly taken from me by someone in bus stop. They seized it suddenly.,bag,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
A person quickly snatched my phone while I was walking in street.,phone,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my chain from my hands in the street and ran away.,chain,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my phone from my hands in the street and ran away.,phone,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My chain was forcibly taken from me by someone in bus stop. They seized it suddenly.,chain,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
A person quickly snatched my phone while I was walking in street.,phone,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my chain from my hands in the street and ran away.,chain,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My bag was forcibly taken from me by someone in street. They seized it suddenly.,bag,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
A person quickly snatched my bag while I was walking in bus stop.,bag,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My bag was forcibly taken from me by someone in bus stop. They seized it suddenly.,bag,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
A person quickly snatched my bag while I was walking in bus stop.,bag,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My phone was forcibly taken from me by someone in street. They seized it suddenly.,phone,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my bag from my hands in the bus stop and ran away.,bag,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My purse was forcibly taken from me by someone in market. They seized it suddenly.,purse,,market,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my purse from my hands in the street and ran away.,purse,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my phone from my hands in the bus stop and ran away.,phone,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my purse from my hands in the bus stop and ran away.,purse,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
A person quickly snatched my bag while I was walking in bus stop.,bag,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My chain was forcibly taken from me by someone in street. They seized it suddenly.,chain,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my purse from my hands in the bus stop and ran away.,purse,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
A person quickly snatched my phone while I was walking in bus stop.,phone,,bus stop,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my chain from my hands in the market and ran away.,chain,,market,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My bag was forcibly taken from me by someone in street. They seized it suddenly.,bag,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
Someone suddenly grabbed my phone from my hands in the street and ran away.,phone,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
A person quickly snatched my purse while I was walking in street.,purse,,street,,grabbed,snatched,seized,forcibly taken,,,,,,accused,victim,,,,,suddenly,quickly,ran away,entity_extraction,en
My valuables was taken from inside my home without my permission.,valuables,,home,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
Someone entered my home and stole my valuables. I was not at home when this happened.,valuables,,home,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my house and removed my jewelry.,jewelry,,house,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My jewelry was taken from inside my room without my permission.,jewelry,,room,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
Someone entered my apartment and stole my electronics. I was not at home when this happened.,electronics,,apartment,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
Someone entered my home and stole my jewelry. I was not at home when this happened.,jewelry,,home,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My valuables was taken from inside my building without my permission.,valuables,,building,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my house and removed my money.,money,,house,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my apartment and removed my valuables.,valuables,,apartment,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
Someone entered my house and stole my money. I was not at home when this happened.,money,,house,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my apartment and removed my jewelry.,jewelry,,apartment,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my room and removed my jewelry.,jewelry,,room,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
Someone entered my home and stole my electronics. I was not at home when this happened.,electronics,,home,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
Someone entered my apartment and stole my valuables. I was not at home when this happened.,valuables,,apartment,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my apartment and removed my electronics.,electronics,,apartment,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My money was taken from inside my room without my permission.,money,,room,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My money was taken from inside my home without my permission.,money,,home,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My jewelry was taken from inside my house without my permission.,jewelry,,house,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my house and removed my money.,money,,house,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
Someone entered my apartment and stole my jewelry. I was not at home when this happened.,jewelry,,apartment,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My jewelry was taken from inside my house without my permission.,jewelry,,house,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my building and removed my money.,money,,building,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my apartment and removed my money.,money,,apartment,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My electronics was taken from inside my room without my permission.,electronics,,room,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My electronics was taken from inside my room without my permission.,electronics,,room,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My valuables was taken from inside my home without my permission.,valuables,,home,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my house and removed my electronics.,electronics,,house,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My electronics was taken from inside my home without my permission.,electronics,,home,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my building and removed my jewelry.,jewelry,,building,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
My electronics was taken from inside my room without my permission.,electronics,,room,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
Someone entered my room and stole my valuables. I was not at home when this happened.,valuables,,room,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
Someone entered my room and stole my electronics. I was not at home when this happened.,electronics,,room,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
A person broke into my home and removed my electronics.,electronics,,home,dwelling house,entered,stole,taken,broke into,removed,,,,,accused,victim,,,,,not at home,without permission,,entity_extraction,en
An staff member in my shop dishonestly took money that belongs to the organization.,money,,shop,,took,stole,dishonestly took,,,,,,,employee,employer,staff member,owner,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
The employee working for me stole money from the workplace.,money,,workplace,,took,stole,dishonestly took,,,,,,,employee,employer,employee,manager,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An employee in my office dishonestly took supplies that belongs to the organization.,supplies,,office,,took,stole,dishonestly took,,,,,,,employee,employer,employee,manager,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An staff member in my shop dishonestly took property that belongs to the organization.,property,,shop,,took,stole,dishonestly took,,,,,,,employee,employer,staff member,boss,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
The clerk working for me stole property from the workplace.,property,,workplace,,took,stole,dishonestly took,,,,,,,employee,employer,clerk,manager,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
The worker working for me stole equipment from the workplace.,equipment,,workplace,,took,stole,dishonestly took,,,,,,,employee,employer,worker,owner,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An staff member in my workplace dishonestly took equipment that belongs to the organization.,equipment,,workplace,,took,stole,dishonestly took,,,,,,,employee,employer,staff member,manager,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An employee in my company dishonestly took equipment that belongs to the organization.,equipment,,company,,took,stole,dishonestly took,,,,,,,employee,employer,employee,owner,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
The worker working for me stole money from the workplace.,money,,company,,took,stole,dishonestly took,,,,,,,employee,employer,worker,boss,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
"My clerk took equipment belonging to the company. As their owner, I trusted them with access.",equipment,,office,,took,stole,dishonestly took,,,,,,,employee,employer,clerk,owner,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An worker in my shop dishonestly took equipment that belongs to the organization.,equipment,,shop,,took,stole,dishonestly took,,,,,,,employee,employer,worker,employer,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An servant in my workplace dishonestly took property that belongs to the organization.,property,,workplace,,took,stole,dishonestly took,,,,,,,employee,employer,servant,boss,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An clerk in my shop dishonestly took property that belongs to the organization.,property,,shop,,took,stole,dishonestly took,,,,,,,employee,employer,clerk,boss,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An servant in my company dishonestly took equipment that belongs to the organization.,equipment,,company,,took,stole,dishonestly took,,,,,,,employee,employer,servant,manager,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
The employee working for me stole equipment from the workplace.,equipment,,shop,,took,stole,dishonestly took,,,,,,,employee,employer,employee,owner,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
The clerk working for me stole equipment from the workplace.,equipment,,store,,took,stole,dishonestly took,,,,,,,employee,employer,clerk,owner,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
The employee working for me stole money from the workplace.,money,,company,,took,stole,dishonestly took,,,,,,,employee,employer,employee,manager,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
"My staff member took property belonging to the company. As their owner, I trusted them with access.",property,,company,,took,stole,dishonestly took,,,,,,,employee,employer,staff member,owner,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
"My servant took equipment belonging to the company. As their manager, I trusted them with access.",equipment,,office,,took,stole,dishonestly took,,,,,,,employee,employer,servant,manager,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An servant in my workplace dishonestly took equipment that belongs to the organization.,equipment,,workplace,,took,stole,dishonestly took,,,,,,,employee,employer,servant,manager,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
The worker working for me stole money from the workplace.,money,,store,,took,stole,dishonestly took,,,,,,,employee,employer,worker,boss,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
"My employee took supplies belonging to the company. As their employer, I trusted them with access.",supplies,,company,,took,stole,dishonestly took,,,,,,,employee,employer,employee,employer,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An employee in my store dishonestly took money that belongs to the organization.,money,,store,,took,stole,dishonestly took,,,,,,,employee,employer,employee,employer,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
"My staff member took property belonging to the company. As their boss, I trusted them with access.",property,,workplace,,took,stole,dishonestly took,,,,,,,employee,employer,staff member,boss,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
"My worker took money belonging to the company. As their employer, I trusted them with access.",money,,office,,took,stole,dishonestly took,,,,,,,employee,employer,worker,employer,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
The clerk working for me stole property from the workplace.,property,,shop,,took,stole,dishonestly took,,,,,,,employee,employer,clerk,owner,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
"My servant took supplies belonging to the company. As their boss, I trusted them with access.",supplies,,office,,took,stole,dishonestly took,,,,,,,employee,employer,servant,boss,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An employee in my store dishonestly took supplies that belongs to the organization.,supplies,,store,,took,stole,dishonestly took,,,,,,,employee,employer,employee,employer,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
"My worker took property belonging to the company. As their manager, I trusted them with access.",property,,shop,,took,stole,dishonestly took,,,,,,,employee,employer,worker,manager,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
An staff member in my shop dishonestly took property that belongs to the organization.,property,,shop,,took,stole,dishonestly took,,,,,,,employee,employer,staff member,boss,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
The staff member working for me stole supplies from the workplace.,supplies,,office,,took,stole,dishonestly took,,,,,,,employee,employer,staff member,manager,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
"My employee took property belonging to the company. As their boss, I trusted them with access.",property,,company,,took,stole,dishonestly took,,,,,,,employee,employer,employee,boss,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
"My worker took money belonging to the company. As their boss, I trusted them with access.",money,,workplace,,took,stole,dishonestly took,,,,,,,employee,employer,worker,boss,employee-employer,worker-boss,trusted with access,from workplace,,entity_extraction,en
A person put me in fear by saying they would damage my property unless I gave them valuables.,valuables,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,damage my property,under threat,,entity_extraction,en
I was forced to give property because someone threatened to cause hurt.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,cause hurt,under threat,,entity_extraction,en
I was forced to give property because someone threatened to cause hurt.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,cause hurt,under threat,,entity_extraction,en
I was forced to give property because someone threatened to harm my family.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
A person put me in fear by saying they would cause hurt unless I gave them property.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,cause hurt,under threat,,entity_extraction,en
I was forced to give money because someone threatened to cause hurt.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,cause hurt,under threat,,entity_extraction,en
A person put me in fear by saying they would cause hurt unless I gave them valuables.,valuables,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,cause hurt,under threat,,entity_extraction,en
Someone threatened me to give them valuables or they would cause hurt.,valuables,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,cause hurt,under threat,,entity_extraction,en
A person put me in fear by saying they would damage my property unless I gave them money.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,damage my property,under threat,,entity_extraction,en
Someone threatened me to give them valuables or they would harm my family.,valuables,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
A person put me in fear by saying they would harm my family unless I gave them money.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
Someone threatened me to give them money or they would damage my property.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,damage my property,under threat,,entity_extraction,en
Someone threatened me to give them valuables or they would harm my family.,valuables,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
I was forced to give money because someone threatened to harm my family.,money,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
A person put me in fear by saying they would spread false information unless I gave them property.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,spread false information,under threat,,entity_extraction,en
Someone threatened me to give them valuables or they would damage my property.,valuables,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,damage my property,under threat,,entity_extraction,en
I was forced to give property because someone threatened to damage my property.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,damage my property,under threat,,entity_extraction,en
I was forced to give valuables because someone threatened to cause hurt.,valuables,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,cause hurt,under threat,,entity_extraction,en
I was forced to give property because someone threatened to harm my family.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,harm my family,under threat,,entity_extraction,en
Someone threatened me to give them property or they would spread false information.,property,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,spread false information,under threat,,entity_extraction,en
I was forced to give valuables because someone threatened to damage my property.,valuables,,,,threatened,forced,put in fear,,,to give,unless given,,,accused,victim,,,,,damage my property,under threat,,entity_extraction,en
