query_id,user_query,language,task
QUERY_038,My phone was forcibly taken from me by someone in market. They seized it suddenly.,en,entity_extraction
QUERY_039,Someone suddenly grabbed my phone from my hands in the bus stop and ran away.,en,entity_extraction
QUERY_040,Someone suddenly grabbed my phone from my hands in the bus stop and ran away.,en,entity_extraction
QUERY_041,Someone suddenly grabbed my phone from my hands in the bus stop and ran away.,en,entity_extraction
QUERY_042,My bag was forcibly taken from me by someone in bus stop. They seized it suddenly.,en,entity_extraction
QUERY_043,A person quickly snatched my phone while I was walking in street.,en,entity_extraction
QUERY_044,Someone suddenly grabbed my chain from my hands in the street and ran away.,en,entity_extraction
QUERY_045,Someone suddenly grabbed my phone from my hands in the street and ran away.,en,entity_extraction
QUERY_046,My chain was forcibly taken from me by someone in bus stop. They seized it suddenly.,en,entity_extraction
QUERY_047,A person quickly snatched my phone while I was walking in street.,en,entity_extraction
QUERY_048,Someone suddenly grabbed my chain from my hands in the street and ran away.,en,entity_extraction
QUERY_049,My bag was forcibly taken from me by someone in street. They seized it suddenly.,en,entity_extraction
QUERY_050,A person quickly snatched my bag while I was walking in bus stop.,en,entity_extraction
QUERY_051,My bag was forcibly taken from me by someone in bus stop. They seized it suddenly.,en,entity_extraction
QUERY_052,A person quickly snatched my bag while I was walking in bus stop.,en,entity_extraction
QUERY_053,My phone was forcibly taken from me by someone in street. They seized it suddenly.,en,entity_extraction
QUERY_054,Someone suddenly grabbed my bag from my hands in the bus stop and ran away.,en,entity_extraction
QUERY_055,My purse was forcibly taken from me by someone in market. They seized it suddenly.,en,entity_extraction
QUERY_056,Someone suddenly grabbed my purse from my hands in the street and ran away.,en,entity_extraction
QUERY_057,Someone suddenly grabbed my phone from my hands in the bus stop and ran away.,en,entity_extraction
QUERY_058,Someone suddenly grabbed my purse from my hands in the bus stop and ran away.,en,entity_extraction
QUERY_059,A person quickly snatched my bag while I was walking in bus stop.,en,entity_extraction
QUERY_060,My chain was forcibly taken from me by someone in street. They seized it suddenly.,en,entity_extraction
QUERY_061,Someone suddenly grabbed my purse from my hands in the bus stop and ran away.,en,entity_extraction
QUERY_062,A person quickly snatched my phone while I was walking in bus stop.,en,entity_extraction
QUERY_063,Someone suddenly grabbed my chain from my hands in the market and ran away.,en,entity_extraction
QUERY_064,My bag was forcibly taken from me by someone in street. They seized it suddenly.,en,entity_extraction
QUERY_065,Someone suddenly grabbed my phone from my hands in the street and ran away.,en,entity_extraction
QUERY_066,A person quickly snatched my purse while I was walking in street.,en,entity_extraction
QUERY_067,My valuables was taken from inside my home without my permission.,en,entity_extraction
QUERY_068,Someone entered my home and stole my valuables. I was not at home when this happened.,en,entity_extraction
QUERY_069,A person broke into my house and removed my jewelry.,en,entity_extraction
QUERY_070,My jewelry was taken from inside my room without my permission.,en,entity_extraction
QUERY_071,Someone entered my apartment and stole my electronics. I was not at home when this happened.,en,entity_extraction
QUERY_072,Someone entered my home and stole my jewelry. I was not at home when this happened.,en,entity_extraction
QUERY_073,My valuables was taken from inside my building without my permission.,en,entity_extraction
QUERY_074,A person broke into my house and removed my money.,en,entity_extraction
QUERY_075,A person broke into my apartment and removed my valuables.,en,entity_extraction
QUERY_076,Someone entered my house and stole my money. I was not at home when this happened.,en,entity_extraction
QUERY_077,A person broke into my apartment and removed my jewelry.,en,entity_extraction
QUERY_078,A person broke into my room and removed my jewelry.,en,entity_extraction
QUERY_079,Someone entered my home and stole my electronics. I was not at home when this happened.,en,entity_extraction
QUERY_080,Someone entered my apartment and stole my valuables. I was not at home when this happened.,en,entity_extraction
QUERY_081,A person broke into my apartment and removed my electronics.,en,entity_extraction
QUERY_082,My money was taken from inside my room without my permission.,en,entity_extraction
QUERY_083,My money was taken from inside my home without my permission.,en,entity_extraction
QUERY_084,My jewelry was taken from inside my house without my permission.,en,entity_extraction
QUERY_085,A person broke into my house and removed my money.,en,entity_extraction
QUERY_086,Someone entered my apartment and stole my jewelry. I was not at home when this happened.,en,entity_extraction
QUERY_087,My jewelry was taken from inside my house without my permission.,en,entity_extraction
QUERY_088,A person broke into my building and removed my money.,en,entity_extraction
QUERY_089,A person broke into my apartment and removed my money.,en,entity_extraction
QUERY_090,My electronics was taken from inside my room without my permission.,en,entity_extraction
QUERY_091,My electronics was taken from inside my room without my permission.,en,entity_extraction
QUERY_092,My valuables was taken from inside my home without my permission.,en,entity_extraction
QUERY_093,A person broke into my house and removed my electronics.,en,entity_extraction
QUERY_094,My electronics was taken from inside my home without my permission.,en,entity_extraction
QUERY_095,A person broke into my building and removed my jewelry.,en,entity_extraction
QUERY_096,My electronics was taken from inside my room without my permission.,en,entity_extraction
QUERY_097,Someone entered my room and stole my valuables. I was not at home when this happened.,en,entity_extraction
QUERY_098,Someone entered my room and stole my electronics. I was not at home when this happened.,en,entity_extraction
QUERY_099,A person broke into my home and removed my electronics.,en,entity_extraction
QUERY_100,An staff member in my shop dishonestly took money that belongs to the organization.,en,entity_extraction
