entity_id,entity_type,entity_value,query_id
ENTITY_0109,persons,victim,QUERY_008
ENTITY_0110,circumstances,from table,QUERY_008
ENTITY_0111,circumstances,from bag,QUERY_008
ENTITY_0112,circumstances,while away,QUERY_008
ENTITY_0113,objects,jewelry,QUERY_009
ENTITY_0114,locations,office,QUERY_009
ENTITY_0115,actions,took,QUERY_009
ENTITY_0116,actions,stolen,QUERY_009
ENTITY_0117,actions,removed,QUERY_009
ENTITY_0118,intentions,without asking,QUERY_009
ENTITY_0119,intentions,without permission,QUERY_009
ENTITY_0120,intentions,dishonestly,QUERY_009
ENTITY_0121,intentions,without consent,QUERY_009
ENTITY_0122,persons,accused,QUERY_009
ENTITY_0123,persons,victim,QUERY_009
ENTITY_0124,circumstances,from table,QUERY_009
ENTITY_0125,circumstances,from bag,QUERY_009
ENTITY_0126,circumstances,while away,QUERY_009
ENTITY_0127,objects,wallet,QUERY_010
ENTITY_0128,locations,park,QUERY_010
ENTITY_0129,actions,took,QUERY_010
ENTITY_0130,actions,stolen,QUERY_010
ENTITY_0131,actions,removed,QUERY_010
ENTITY_0132,intentions,without asking,QUERY_010
ENTITY_0133,intentions,without permission,QUERY_010
ENTITY_0134,intentions,dishonestly,QUERY_010
ENTITY_0135,intentions,without consent,QUERY_010
ENTITY_0136,persons,accused,QUERY_010
ENTITY_0137,persons,victim,QUERY_010
ENTITY_0138,circumstances,from table,QUERY_010
ENTITY_0139,circumstances,from bag,QUERY_010
ENTITY_0140,circumstances,while away,QUERY_010
ENTITY_0141,objects,money,QUERY_011
ENTITY_0142,locations,bus,QUERY_011
ENTITY_0143,actions,took,QUERY_011
ENTITY_0144,actions,stolen,QUERY_011
ENTITY_0145,actions,removed,QUERY_011
ENTITY_0146,intentions,without asking,QUERY_011
ENTITY_0147,intentions,without permission,QUERY_011
ENTITY_0148,intentions,dishonestly,QUERY_011
ENTITY_0149,intentions,without consent,QUERY_011
ENTITY_0150,persons,accused,QUERY_011
ENTITY_0151,persons,victim,QUERY_011
ENTITY_0152,circumstances,from table,QUERY_011
ENTITY_0153,circumstances,from bag,QUERY_011
ENTITY_0154,circumstances,while away,QUERY_011
ENTITY_0155,objects,watch,QUERY_012
ENTITY_0156,locations,restaurant,QUERY_012
ENTITY_0157,actions,took,QUERY_012
ENTITY_0158,actions,stolen,QUERY_012
ENTITY_0159,actions,removed,QUERY_012
ENTITY_0160,intentions,without asking,QUERY_012
ENTITY_0161,intentions,without permission,QUERY_012
ENTITY_0162,intentions,dishonestly,QUERY_012
ENTITY_0163,intentions,without consent,QUERY_012
ENTITY_0164,persons,accused,QUERY_012
ENTITY_0165,persons,victim,QUERY_012
ENTITY_0166,circumstances,from table,QUERY_012
ENTITY_0167,circumstances,from bag,QUERY_012
ENTITY_0168,circumstances,while away,QUERY_012
ENTITY_0169,objects,money,QUERY_013
ENTITY_0170,locations,market,QUERY_013
ENTITY_0171,actions,took,QUERY_013
ENTITY_0172,actions,stolen,QUERY_013
ENTITY_0173,actions,removed,QUERY_013
ENTITY_0174,intentions,without asking,QUERY_013
ENTITY_0175,intentions,without permission,QUERY_013
ENTITY_0176,intentions,dishonestly,QUERY_013
ENTITY_0177,intentions,without consent,QUERY_013
ENTITY_0178,persons,accused,QUERY_013
ENTITY_0179,persons,victim,QUERY_013
ENTITY_0180,circumstances,from table,QUERY_013
ENTITY_0181,circumstances,from bag,QUERY_013
ENTITY_0182,circumstances,while away,QUERY_013
ENTITY_0183,objects,bag,QUERY_014
ENTITY_0184,locations,office,QUERY_014
ENTITY_0185,actions,took,QUERY_014
ENTITY_0186,actions,stolen,QUERY_014
ENTITY_0187,actions,removed,QUERY_014
ENTITY_0188,intentions,without asking,QUERY_014
ENTITY_0189,intentions,without permission,QUERY_014
ENTITY_0190,intentions,dishonestly,QUERY_014
ENTITY_0191,intentions,without consent,QUERY_014
ENTITY_0192,persons,accused,QUERY_014
ENTITY_0193,persons,victim,QUERY_014
ENTITY_0194,circumstances,from table,QUERY_014
ENTITY_0195,circumstances,from bag,QUERY_014
ENTITY_0196,circumstances,while away,QUERY_014
ENTITY_0197,objects,jewelry,QUERY_015
ENTITY_0198,locations,restaurant,QUERY_015
ENTITY_0199,actions,took,QUERY_015
ENTITY_0200,actions,stolen,QUERY_015
ENTITY_0201,actions,removed,QUERY_015
ENTITY_0202,intentions,without asking,QUERY_015
ENTITY_0203,intentions,without permission,QUERY_015
ENTITY_0204,intentions,dishonestly,QUERY_015
ENTITY_0205,intentions,without consent,QUERY_015
ENTITY_0206,persons,accused,QUERY_015
ENTITY_0207,persons,victim,QUERY_015
ENTITY_0208,circumstances,from table,QUERY_015
ENTITY_0209,circumstances,from bag,QUERY_015
ENTITY_0210,circumstances,while away,QUERY_015
ENTITY_0211,objects,wallet,QUERY_016
ENTITY_0212,locations,park,QUERY_016
ENTITY_0213,actions,took,QUERY_016
ENTITY_0214,actions,stolen,QUERY_016
ENTITY_0215,actions,removed,QUERY_016
ENTITY_0216,intentions,without asking,QUERY_016
ENTITY_0217,intentions,without permission,QUERY_016
ENTITY_0218,intentions,dishonestly,QUERY_016
ENTITY_0219,intentions,without consent,QUERY_016
ENTITY_0220,persons,accused,QUERY_016
ENTITY_0221,persons,victim,QUERY_016
ENTITY_0222,circumstances,from table,QUERY_016
ENTITY_0223,circumstances,from bag,QUERY_016
ENTITY_0224,circumstances,while away,QUERY_016
ENTITY_0225,objects,mobile phone,QUERY_017
ENTITY_0226,locations,restaurant,QUERY_017
ENTITY_0227,actions,took,QUERY_017
ENTITY_0228,actions,stolen,QUERY_017
ENTITY_0229,actions,removed,QUERY_017
ENTITY_0230,intentions,without asking,QUERY_017
ENTITY_0231,intentions,without permission,QUERY_017
ENTITY_0232,intentions,dishonestly,QUERY_017
ENTITY_0233,intentions,without consent,QUERY_017
ENTITY_0234,persons,accused,QUERY_017
ENTITY_0235,persons,victim,QUERY_017
ENTITY_0236,circumstances,from table,QUERY_017
ENTITY_0237,circumstances,from bag,QUERY_017
ENTITY_0238,circumstances,while away,QUERY_017
ENTITY_0239,objects,mobile phone,QUERY_018
ENTITY_0240,locations,bus,QUERY_018
ENTITY_0241,actions,took,QUERY_018
ENTITY_0242,actions,stolen,QUERY_018
ENTITY_0243,actions,removed,QUERY_018
ENTITY_0244,intentions,without asking,QUERY_018
ENTITY_0245,intentions,without permission,QUERY_018
ENTITY_0246,intentions,dishonestly,QUERY_018
ENTITY_0247,intentions,without consent,QUERY_018
ENTITY_0248,persons,accused,QUERY_018
ENTITY_0249,persons,victim,QUERY_018
ENTITY_0250,circumstances,from table,QUERY_018
ENTITY_0251,circumstances,from bag,QUERY_018
ENTITY_0252,circumstances,while away,QUERY_018
ENTITY_0253,objects,laptop,QUERY_019
ENTITY_0254,locations,home,QUERY_019
ENTITY_0255,actions,took,QUERY_019
ENTITY_0256,actions,stolen,QUERY_019
ENTITY_0257,actions,removed,QUERY_019
ENTITY_0258,intentions,without asking,QUERY_019
ENTITY_0259,intentions,without permission,QUERY_019
ENTITY_0260,intentions,dishonestly,QUERY_019
ENTITY_0261,intentions,without consent,QUERY_019
ENTITY_0262,persons,accused,QUERY_019
ENTITY_0263,persons,victim,QUERY_019
ENTITY_0264,circumstances,from table,QUERY_019
ENTITY_0265,circumstances,from bag,QUERY_019
ENTITY_0266,circumstances,while away,QUERY_019
ENTITY_0267,objects,watch,QUERY_020
ENTITY_0268,locations,bus,QUERY_020
ENTITY_0269,actions,took,QUERY_020
ENTITY_0270,actions,stolen,QUERY_020
ENTITY_0271,actions,removed,QUERY_020
ENTITY_0272,intentions,without asking,QUERY_020
ENTITY_0273,intentions,without permission,QUERY_020
ENTITY_0274,intentions,dishonestly,QUERY_020
ENTITY_0275,intentions,without consent,QUERY_020
ENTITY_0276,persons,accused,QUERY_020
ENTITY_0277,persons,victim,QUERY_020
ENTITY_0278,circumstances,from table,QUERY_020
ENTITY_0279,circumstances,from bag,QUERY_020
ENTITY_0280,circumstances,while away,QUERY_020
ENTITY_0281,objects,jewelry,QUERY_021
ENTITY_0282,locations,bus,QUERY_021
ENTITY_0283,actions,took,QUERY_021
ENTITY_0284,actions,stolen,QUERY_021
ENTITY_0285,actions,removed,QUERY_021
ENTITY_0286,intentions,without asking,QUERY_021
ENTITY_0287,intentions,without permission,QUERY_021
ENTITY_0288,intentions,dishonestly,QUERY_021
ENTITY_0289,intentions,without consent,QUERY_021
ENTITY_0290,persons,accused,QUERY_021
ENTITY_0291,persons,victim,QUERY_021
ENTITY_0292,circumstances,from table,QUERY_021
ENTITY_0293,circumstances,from bag,QUERY_021
ENTITY_0294,circumstances,while away,QUERY_021
ENTITY_0295,objects,laptop,QUERY_022
ENTITY_0296,locations,market,QUERY_022
ENTITY_0297,actions,took,QUERY_022
ENTITY_0298,actions,stolen,QUERY_022
ENTITY_0299,actions,removed,QUERY_022
ENTITY_0300,intentions,without asking,QUERY_022
ENTITY_0301,intentions,without permission,QUERY_022
ENTITY_0302,intentions,dishonestly,QUERY_022
ENTITY_0303,intentions,without consent,QUERY_022
ENTITY_0304,persons,accused,QUERY_022
ENTITY_0305,persons,victim,QUERY_022
ENTITY_0306,circumstances,from table,QUERY_022
ENTITY_0307,circumstances,from bag,QUERY_022
ENTITY_0308,circumstances,while away,QUERY_022
ENTITY_0309,objects,laptop,QUERY_023
ENTITY_0310,locations,bus,QUERY_023
ENTITY_0311,actions,took,QUERY_023
ENTITY_0312,actions,stolen,QUERY_023
ENTITY_0313,actions,removed,QUERY_023
ENTITY_0314,intentions,without asking,QUERY_023
ENTITY_0315,intentions,without permission,QUERY_023
ENTITY_0316,intentions,dishonestly,QUERY_023
ENTITY_0317,intentions,without consent,QUERY_023
ENTITY_0318,persons,accused,QUERY_023
ENTITY_0319,persons,victim,QUERY_023
ENTITY_0320,circumstances,from table,QUERY_023
ENTITY_0321,circumstances,from bag,QUERY_023
ENTITY_0322,circumstances,while away,QUERY_023
ENTITY_0323,objects,jewelry,QUERY_024
ENTITY_0324,locations,office,QUERY_024
ENTITY_0325,actions,took,QUERY_024
ENTITY_0326,actions,stolen,QUERY_024
ENTITY_0327,actions,removed,QUERY_024
ENTITY_0328,intentions,without asking,QUERY_024
ENTITY_0329,intentions,without permission,QUERY_024
ENTITY_0330,intentions,dishonestly,QUERY_024
ENTITY_0331,intentions,without consent,QUERY_024
ENTITY_0332,persons,accused,QUERY_024
ENTITY_0333,persons,victim,QUERY_024
ENTITY_0334,circumstances,from table,QUERY_024
ENTITY_0335,circumstances,from bag,QUERY_024
ENTITY_0336,circumstances,while away,QUERY_024
ENTITY_0337,objects,bag,QUERY_025
ENTITY_0338,locations,bus,QUERY_025
ENTITY_0339,actions,took,QUERY_025
ENTITY_0340,actions,stolen,QUERY_025
ENTITY_0341,actions,removed,QUERY_025
ENTITY_0342,intentions,without asking,QUERY_025
ENTITY_0343,intentions,without permission,QUERY_025
ENTITY_0344,intentions,dishonestly,QUERY_025
ENTITY_0345,intentions,without consent,QUERY_025
ENTITY_0346,persons,accused,QUERY_025
ENTITY_0347,persons,victim,QUERY_025
ENTITY_0348,circumstances,from table,QUERY_025
ENTITY_0349,circumstances,from bag,QUERY_025
ENTITY_0350,circumstances,while away,QUERY_025
ENTITY_0351,objects,laptop,QUERY_026
ENTITY_0352,locations,home,QUERY_026
ENTITY_0353,actions,took,QUERY_026
ENTITY_0354,actions,stolen,QUERY_026
ENTITY_0355,actions,removed,QUERY_026
ENTITY_0356,intentions,without asking,QUERY_026
ENTITY_0357,intentions,without permission,QUERY_026
ENTITY_0358,intentions,dishonestly,QUERY_026
ENTITY_0359,intentions,without consent,QUERY_026
ENTITY_0360,persons,accused,QUERY_026
ENTITY_0361,persons,victim,QUERY_026
ENTITY_0362,circumstances,from table,QUERY_026
ENTITY_0363,circumstances,from bag,QUERY_026
ENTITY_0364,circumstances,while away,QUERY_026
ENTITY_0365,objects,bag,QUERY_027
ENTITY_0366,locations,restaurant,QUERY_027
ENTITY_0367,actions,took,QUERY_027
ENTITY_0368,actions,stolen,QUERY_027
ENTITY_0369,actions,removed,QUERY_027
ENTITY_0370,intentions,without asking,QUERY_027
ENTITY_0371,intentions,without permission,QUERY_027
ENTITY_0372,intentions,dishonestly,QUERY_027
ENTITY_0373,intentions,without consent,QUERY_027
ENTITY_0374,persons,accused,QUERY_027
ENTITY_0375,persons,victim,QUERY_027
ENTITY_0376,circumstances,from table,QUERY_027
ENTITY_0377,circumstances,from bag,QUERY_027
ENTITY_0378,circumstances,while away,QUERY_027
ENTITY_0379,objects,mobile phone,QUERY_028
ENTITY_0380,locations,park,QUERY_028
ENTITY_0381,actions,took,QUERY_028
ENTITY_0382,actions,stolen,QUERY_028
ENTITY_0383,actions,removed,QUERY_028
ENTITY_0384,intentions,without asking,QUERY_028
ENTITY_0385,intentions,without permission,QUERY_028
ENTITY_0386,intentions,dishonestly,QUERY_028
ENTITY_0387,intentions,without consent,QUERY_028
ENTITY_0388,persons,accused,QUERY_028
ENTITY_0389,persons,victim,QUERY_028
ENTITY_0390,circumstances,from table,QUERY_028
ENTITY_0391,circumstances,from bag,QUERY_028
ENTITY_0392,circumstances,while away,QUERY_028
ENTITY_0393,objects,bag,QUERY_029
ENTITY_0394,locations,market,QUERY_029
ENTITY_0395,actions,took,QUERY_029
ENTITY_0396,actions,stolen,QUERY_029
ENTITY_0397,actions,removed,QUERY_029
ENTITY_0398,intentions,without asking,QUERY_029
ENTITY_0399,intentions,without permission,QUERY_029
ENTITY_0400,intentions,dishonestly,QUERY_029
ENTITY_0401,intentions,without consent,QUERY_029
ENTITY_0402,persons,accused,QUERY_029
ENTITY_0403,persons,victim,QUERY_029
ENTITY_0404,circumstances,from table,QUERY_029
ENTITY_0405,circumstances,from bag,QUERY_029
ENTITY_0406,circumstances,while away,QUERY_029
ENTITY_0407,objects,mobile phone,QUERY_030
ENTITY_0408,locations,bus,QUERY_030
ENTITY_0409,actions,took,QUERY_030
ENTITY_0410,actions,stolen,QUERY_030
ENTITY_0411,actions,removed,QUERY_030
ENTITY_0412,intentions,without asking,QUERY_030
ENTITY_0413,intentions,without permission,QUERY_030
ENTITY_0414,intentions,dishonestly,QUERY_030
ENTITY_0415,intentions,without consent,QUERY_030
ENTITY_0416,persons,accused,QUERY_030
ENTITY_0417,persons,victim,QUERY_030
ENTITY_0418,circumstances,from table,QUERY_030
ENTITY_0419,circumstances,from bag,QUERY_030
ENTITY_0420,circumstances,while away,QUERY_030
ENTITY_0421,objects,jewelry,QUERY_031
ENTITY_0422,locations,market,QUERY_031
ENTITY_0423,actions,took,QUERY_031
ENTITY_0424,actions,stolen,QUERY_031
ENTITY_0425,actions,removed,QUERY_031
ENTITY_0426,intentions,without asking,QUERY_031
ENTITY_0427,intentions,without permission,QUERY_031
ENTITY_0428,intentions,dishonestly,QUERY_031
ENTITY_0429,intentions,without consent,QUERY_031
ENTITY_0430,persons,accused,QUERY_031
ENTITY_0431,persons,victim,QUERY_031
ENTITY_0432,circumstances,from table,QUERY_031
ENTITY_0433,circumstances,from bag,QUERY_031
ENTITY_0434,circumstances,while away,QUERY_031
ENTITY_0435,objects,bag,QUERY_032
ENTITY_0436,locations,park,QUERY_032
ENTITY_0437,actions,took,QUERY_032
ENTITY_0438,actions,stolen,QUERY_032
ENTITY_0439,actions,removed,QUERY_032
ENTITY_0440,intentions,without asking,QUERY_032
ENTITY_0441,intentions,without permission,QUERY_032
ENTITY_0442,intentions,dishonestly,QUERY_032
ENTITY_0443,intentions,without consent,QUERY_032
ENTITY_0444,persons,accused,QUERY_032
ENTITY_0445,persons,victim,QUERY_032
ENTITY_0446,circumstances,from table,QUERY_032
ENTITY_0447,circumstances,from bag,QUERY_032
ENTITY_0448,circumstances,while away,QUERY_032
ENTITY_0449,objects,wallet,QUERY_033
ENTITY_0450,locations,restaurant,QUERY_033
ENTITY_0451,actions,took,QUERY_033
ENTITY_0452,actions,stolen,QUERY_033
ENTITY_0453,actions,removed,QUERY_033
ENTITY_0454,intentions,without asking,QUERY_033
ENTITY_0455,intentions,without permission,QUERY_033
ENTITY_0456,intentions,dishonestly,QUERY_033
ENTITY_0457,intentions,without consent,QUERY_033
ENTITY_0458,persons,accused,QUERY_033
ENTITY_0459,persons,victim,QUERY_033
ENTITY_0460,circumstances,from table,QUERY_033
ENTITY_0461,circumstances,from bag,QUERY_033
ENTITY_0462,circumstances,while away,QUERY_033
ENTITY_0463,objects,purse,QUERY_034
ENTITY_0464,locations,bus stop,QUERY_034
ENTITY_0465,actions,grabbed,QUERY_034
ENTITY_0466,actions,snatched,QUERY_034
ENTITY_0467,actions,seized,QUERY_034
ENTITY_0468,actions,forcibly taken,QUERY_034
ENTITY_0469,circumstances,suddenly,QUERY_034
ENTITY_0470,circumstances,quickly,QUERY_034
ENTITY_0471,circumstances,ran away,QUERY_034
ENTITY_0472,persons,accused,QUERY_034
ENTITY_0473,persons,victim,QUERY_034
ENTITY_0474,objects,purse,QUERY_035
ENTITY_0475,locations,bus stop,QUERY_035
ENTITY_0476,actions,grabbed,QUERY_035
ENTITY_0477,actions,snatched,QUERY_035
ENTITY_0478,actions,seized,QUERY_035
ENTITY_0479,actions,forcibly taken,QUERY_035
ENTITY_0480,circumstances,suddenly,QUERY_035
ENTITY_0481,circumstances,quickly,QUERY_035
ENTITY_0482,circumstances,ran away,QUERY_035
ENTITY_0483,persons,accused,QUERY_035
ENTITY_0484,persons,victim,QUERY_035
ENTITY_0485,objects,purse,QUERY_036
ENTITY_0486,locations,bus stop,QUERY_036
ENTITY_0487,actions,grabbed,QUERY_036
ENTITY_0488,actions,snatched,QUERY_036
ENTITY_0489,actions,seized,QUERY_036
ENTITY_0490,actions,forcibly taken,QUERY_036
ENTITY_0491,circumstances,suddenly,QUERY_036
ENTITY_0492,circumstances,quickly,QUERY_036
ENTITY_0493,circumstances,ran away,QUERY_036
ENTITY_0494,persons,accused,QUERY_036
ENTITY_0495,persons,victim,QUERY_036
ENTITY_0496,objects,bag,QUERY_037
ENTITY_0497,locations,market,QUERY_037
ENTITY_0498,actions,grabbed,QUERY_037
ENTITY_0499,actions,snatched,QUERY_037
ENTITY_0500,actions,seized,QUERY_037
ENTITY_0501,actions,forcibly taken,QUERY_037
ENTITY_0502,circumstances,suddenly,QUERY_037
ENTITY_0503,circumstances,quickly,QUERY_037
ENTITY_0504,circumstances,ran away,QUERY_037
ENTITY_0505,persons,accused,QUERY_037
ENTITY_0506,persons,victim,QUERY_037
ENTITY_0507,objects,phone,QUERY_038
ENTITY_0508,locations,market,QUERY_038
ENTITY_0509,actions,grabbed,QUERY_038
ENTITY_0510,actions,snatched,QUERY_038
ENTITY_0511,actions,seized,QUERY_038
ENTITY_0512,actions,forcibly taken,QUERY_038
ENTITY_0513,circumstances,suddenly,QUERY_038
ENTITY_0514,circumstances,quickly,QUERY_038
ENTITY_0515,circumstances,ran away,QUERY_038
ENTITY_0516,persons,accused,QUERY_038
ENTITY_0517,persons,victim,QUERY_038
ENTITY_0518,objects,phone,QUERY_039
ENTITY_0519,locations,bus stop,QUERY_039
ENTITY_0520,actions,grabbed,QUERY_039
ENTITY_0521,actions,snatched,QUERY_039
ENTITY_0522,actions,seized,QUERY_039
ENTITY_0523,actions,forcibly taken,QUERY_039
ENTITY_0524,circumstances,suddenly,QUERY_039
ENTITY_0525,circumstances,quickly,QUERY_039
ENTITY_0526,circumstances,ran away,QUERY_039
ENTITY_0527,persons,accused,QUERY_039
ENTITY_0528,persons,victim,QUERY_039
ENTITY_0529,objects,phone,QUERY_040
ENTITY_0530,locations,bus stop,QUERY_040
ENTITY_0531,actions,grabbed,QUERY_040
ENTITY_0532,actions,snatched,QUERY_040
ENTITY_0533,actions,seized,QUERY_040
ENTITY_0534,actions,forcibly taken,QUERY_040
ENTITY_0535,circumstances,suddenly,QUERY_040
ENTITY_0536,circumstances,quickly,QUERY_040
ENTITY_0537,circumstances,ran away,QUERY_040
ENTITY_0538,persons,accused,QUERY_040
ENTITY_0539,persons,victim,QUERY_040
ENTITY_0540,objects,phone,QUERY_041
ENTITY_0541,locations,bus stop,QUERY_041
ENTITY_0542,actions,grabbed,QUERY_041
ENTITY_0543,actions,snatched,QUERY_041
ENTITY_0544,actions,seized,QUERY_041
ENTITY_0545,actions,forcibly taken,QUERY_041
ENTITY_0546,circumstances,suddenly,QUERY_041
ENTITY_0547,circumstances,quickly,QUERY_041
ENTITY_0548,circumstances,ran away,QUERY_041
ENTITY_0549,persons,accused,QUERY_041
ENTITY_0550,persons,victim,QUERY_041
ENTITY_0551,objects,bag,QUERY_042
ENTITY_0552,locations,bus stop,QUERY_042
ENTITY_0553,actions,grabbed,QUERY_042
ENTITY_0554,actions,snatched,QUERY_042
ENTITY_0555,actions,seized,QUERY_042
ENTITY_0556,actions,forcibly taken,QUERY_042
ENTITY_0557,circumstances,suddenly,QUERY_042
ENTITY_0558,circumstances,quickly,QUERY_042
ENTITY_0559,circumstances,ran away,QUERY_042
ENTITY_0560,persons,accused,QUERY_042
ENTITY_0561,persons,victim,QUERY_042
ENTITY_0562,objects,phone,QUERY_043
ENTITY_0563,locations,street,QUERY_043
ENTITY_0564,actions,grabbed,QUERY_043
ENTITY_0565,actions,snatched,QUERY_043
ENTITY_0566,actions,seized,QUERY_043
ENTITY_0567,actions,forcibly taken,QUERY_043
ENTITY_0568,circumstances,suddenly,QUERY_043
ENTITY_0569,circumstances,quickly,QUERY_043
ENTITY_0570,circumstances,ran away,QUERY_043
ENTITY_0571,persons,accused,QUERY_043
ENTITY_0572,persons,victim,QUERY_043
ENTITY_0573,objects,chain,QUERY_044
ENTITY_0574,locations,street,QUERY_044
ENTITY_0575,actions,grabbed,QUERY_044
ENTITY_0576,actions,snatched,QUERY_044
ENTITY_0577,actions,seized,QUERY_044
ENTITY_0578,actions,forcibly taken,QUERY_044
ENTITY_0579,circumstances,suddenly,QUERY_044
ENTITY_0580,circumstances,quickly,QUERY_044
ENTITY_0581,circumstances,ran away,QUERY_044
ENTITY_0582,persons,accused,QUERY_044
ENTITY_0583,persons,victim,QUERY_044
ENTITY_0584,objects,phone,QUERY_045
ENTITY_0585,locations,street,QUERY_045
ENTITY_0586,actions,grabbed,QUERY_045
ENTITY_0587,actions,snatched,QUERY_045
ENTITY_0588,actions,seized,QUERY_045
ENTITY_0589,actions,forcibly taken,QUERY_045
ENTITY_0590,circumstances,suddenly,QUERY_045
ENTITY_0591,circumstances,quickly,QUERY_045
ENTITY_0592,circumstances,ran away,QUERY_045
ENTITY_0593,persons,accused,QUERY_045
ENTITY_0594,persons,victim,QUERY_045
ENTITY_0595,objects,chain,QUERY_046
ENTITY_0596,locations,bus stop,QUERY_046
ENTITY_0597,actions,grabbed,QUERY_046
